date,year,month,crop,price_per_q,yield_q_ha,area_ha,rainfall_mm,cost_per_ha,gross_income,net_profit
2019-01-01,2019,1,Groundnut,5656.0,11.42,105171.0,0.0,28580.0,64592.0,36012.0
2019-02-01,2019,2,Groundnut,6401.0,12.36,109763.0,0.0,27490.0,79116.0,51626.0
2019-03-01,2019,3,Groundnut,6427.0,13.33,95315.0,51.2,27700.0,85672.0,57972.0
2019-04-01,2019,4,Groundnut,6515.0,11.88,94300.0,70.9,29056.0,77398.0,48342.0
2019-05-01,2019,5,Groundnut,5632.0,14.11,104410.0,110.6,29666.0,79468.0,49802.0
2019-06-01,2019,6,Groundnut,5262.0,14.07,93520.0,100.0,25347.0,74036.0,48689.0
2019-07-01,2019,7,Groundnut,4905.0,15.19,108269.0,150.4,27276.0,74507.0,47231.0
2019-08-01,2019,8,Groundnut,4587.0,15.22,106460.0,117.7,27861.0,69814.0,41953.0
2019-09-01,2019,9,Groundnut,4006.0,14.29,95725.0,72.6,28971.0,57246.0,28275.0
2019-10-01,2019,10,Groundnut,5472.0,12.46,103772.0,23.4,26455.0,68181.0,41726.0
2019-11-01,2019,11,Groundnut,5801.0,12.03,103864.0,0.0,27822.0,69786.0,41964.0
2019-12-01,2019,12,Groundnut,5421.0,13.02,87578.0,0.0,28060.0,70581.0,42521.0
2020-01-01,2020,1,Groundnut,5535.0,12.19,107564.0,0.0,26591.0,67472.0,40881.0
2020-02-01,2020,2,Groundnut,5670.0,11.68,97631.0,0.0,26543.0,66226.0,39683.0
2020-03-01,2020,3,Groundnut,5724.0,14.71,105661.0,21.2,28197.0,84200.0,56003.0
2020-04-01,2020,4,Groundnut,5052.0,13.05,93001.0,44.0,27739.0,65929.0,38190.0
2020-05-01,2020,5,Groundnut,5255.0,13.52,107388.0,90.8,29001.0,71048.0,42047.0
2020-06-01,2020,6,Groundnut,5295.0,13.15,94730.0,144.0,25893.0,69629.0,43736.0
2020-07-01,2020,7,Groundnut,5641.0,14.93,85271.0,109.5,27299.0,84220.0,56921.0
2020-08-01,2020,8,Groundnut,4688.0,13.19,107635.0,85.3,27542.0,61835.0,34293.0
2020-09-01,2020,9,Groundnut,4603.0,13.53,87282.0,56.9,29628.0,62279.0,32651.0
2020-10-01,2020,10,Groundnut,4599.0,13.39,92983.0,0.0,26119.0,61581.0,35462.0
2020-11-01,2020,11,Groundnut,4945.0,11.95,108752.0,0.0,28469.0,59093.0,30624.0
2020-12-01,2020,12,Groundnut,5925.0,12.74,108765.0,0.0,28506.0,75484.0,46978.0
2021-01-01,2021,1,Groundnut,6087.0,13.83,99336.0,0.0,31293.0,84183.0,52890.0
2021-02-01,2021,2,Groundnut,6007.0,11.08,100796.0,14.7,25986.0,66558.0,40572.0
2021-03-01,2021,3,Groundnut,5912.0,12.22,96211.0,7.9,26686.0,72245.0,45559.0
2021-04-01,2021,4,Groundnut,6044.0,13.49,92330.0,96.6,26125.0,81534.0,55409.0
2021-05-01,2021,5,Groundnut,5588.0,13.95,93217.0,91.4,24660.0,77953.0,53293.0
2021-06-01,2021,6,Groundnut,5384.0,14.19,101813.0,99.9,31529.0,76399.0,44870.0
2021-07-01,2021,7,Groundnut,4965.0,13.61,103809.0,111.0,25517.0,67574.0,42057.0
2021-08-01,2021,8,Groundnut,4987.0,14.03,104789.0,118.2,26367.0,69968.0,43601.0
