date,year,month,crop,price_per_q,yield_q_ha,area_ha,rainfall_mm,cost_per_ha,gross_income,net_profit
2019-01-01,2019,1,Tomato,3456.0,29.57,9544.0,0.0,36722.0,102194.0,65472.0
2019-02-01,2019,2,Tomato,3893.0,26.73,10222.0,0.0,29739.0,104060.0,74321.0
2019-03-01,2019,3,Tomato,4362.0,27.84,9084.0,51.2,41244.0,121438.0,80194.0
2019-04-01,2019,4,Tomato,3059.0,27.4,11735.0,70.9,34086.0,83817.0,49731.0
2019-05-01,2019,5,Tomato,2483.0,30.16,7624.0,110.6,35286.0,74887.0,39601.0
2019-06-01,2019,6,Tomato,2198.0,24.94,7000.0,100.0,35537.0,54818.0,19281.0
2019-07-01,2019,7,Tomato,2582.0,29.53,11080.0,150.4,36823.0,76246.0,39423.0
2019-08-01,2019,8,Tomato,2170.0,29.31,6565.0,117.7,30442.0,63603.0,33161.0
2019-09-01,2019,9,Tomato,1863.0,26.59,11743.0,72.6,34984.0,49537.0,14553.0
2019-10-01,2019,10,Tomato,2718.0,29.76,5085.0,23.4,33024.0,80888.0,47864.0
2019-11-01,2019,11,Tomato,2971.0,26.17,11789.0,0.0,29931.0,77751.0,47820.0
2019-12-01,2019,12,Tomato,3876.0,28.54,5302.0,0.0,37961.0,110621.0,72660.0
2020-01-01,2020,1,Tomato,3059.0,32.77,11238.0,0.0,33943.0,100243.0,66300.0
2020-02-01,2020,2,Tomato,3395.0,25.4,8694.0,0.0,35728.0,86233.0,50505.0
2020-03-01,2020,3,Tomato,3271.0,28.18,11951.0,21.2,35540.0,92177.0,56637.0
2020-04-01,2020,4,Tomato,2430.0,28.1,5517.0,44.0,33995.0,68283.0,34288.0
2020-05-01,2020,5,Tomato,2879.0,28.48,8877.0,90.8,40925.0,81994.0,41069.0
2020-06-01,2020,6,Tomato,2423.0,31.57,11785.0,144.0,34858.0,76494.0,41636.0
2020-07-01,2020,7,Tomato,1971.0,31.65,8662.0,109.5,30326.0,62382.0,32056.0
2020-08-01,2020,8,Tomato,1732.0,30.73,9406.0,85.3,33799.0,53224.0,19425.0
2020-09-01,2020,9,Tomato,1400.0,27.8,9870.0,56.9,36499.0,38920.0,2421.0
2020-10-01,2020,10,Tomato,2095.0,32.26,8182.0,0.0,36598.0,67585.0,30987.0
2020-11-01,2020,11,Tomato,2596.0,25.2,9393.0,0.0,31737.0,65419.0,33682.0
2020-12-01,2020,12,Tomato,2834.0,26.45,9090.0,0.0,37788.0,74959.0,37171.0
2021-01-01,2021,1,Tomato,3509.0,28.48,11308.0,0.0,29711.0,99936.0,70225.0
2021-02-01,2021,2,Tomato,3941.0,28.57,5318.0,14.7,38432.0,112594.0,74162.0
2021-03-01,2021,3,Tomato,4590.0,29.15,6967.0,7.9,31042.0,133798.0,102756.0
2021-04-01,2021,4,Tomato,3430.0,32.32,11653.0,96.6,34321.0,110858.0,76537.0
2021-05-01,2021,5,Tomato,3040.0,29.39,11232.0,91.4,38194.0,89346.0,51152.0
2021-06-01,2021,6,Tomato,2435.0,29.92,8190.0,99.9,35359.0,72855.0,37496.0
2021-07-01,2021,7,Tomato,1400.0,28.91,9341.0,111.0,37450.0,40474.0,3024.0
2021-08-01,2021,8,Tomato,2016.0,31.01,6942.0,118.2,36856.0,62516.0,25660.0
2021-09-01,2021,9,Tomato,2182.0,28.5,6317.0,51.9,38859.0,62187.0,23328.0
2021-10-01,2021,10,Tomato,3717.0,27.73,8246.0,0.0,38187.0,103072.0,64885.0
2021-11-01,2021,11,Tomato,2851.0,29.19,7473.0,0.0,33639.0,83221.0,49582.0
2021-12-01,2021,12,Tomato,3566.0,30.02,9086.0,0.0,36899.0,107051.0,70152.0
2022-01-01,2022,1,Tomato,4088.0,24.58,5544.0,0.0,30420.0,100483.0,70063.0
2022-02-01,2022,2,Tomato,3670.0,28.9,11821.0,0.0,34826.0,106063.0,71237.0
2022-03-01,2022,3,Tomato,4734.0,28.62,11903.0,51.0,37455.0,135487.0,98032.0
2022-04-01,2022,4,Tomato,4234.0,31.24,9887.0,88.8,35402.0,132270.0,96868.0
2022-05-01,2022,5,Tomato,3823.0,29.41,8753.0,100.5,36340.0,112434.0,76094.0
2022-06-01,2022,6,Tomato,2534.0,32.2,7167.0,112.1,34360.0,81595.0,47235.0
2022-07-01,2022,7,Tomato,3366.0,28.93,10697.0,115.4,38387.0,97378.0,58991.0
2022-08-01,2022,8,Tomato,1844.0,26.48,9793.0,125.3,34759.0,48829.0,14070.0
2022-09-01,2022,9,Tomato,2961.0,30.99,6138.0,58.3,33604.0,91761.0,58157.0
2022-10-01,2022,10,Tomato,4097.0,27.31,11376.0,24.7,37660.0,111889.0,74229.0
2022-11-01,2022,11,Tomato,2968.0,25.71,10758.0,0.0,30785.0,76307.0,45522.0
2022-12-01,2022,12,Tomato,3648.0,28.4,11649.0,0.0,36503.0,103603.0,67100.0
2023-01-01,2023,1,Tomato,4335.0,27.98,10080.0,0.0,31873.0,121293.0,89420.0
2023-02-01,2023,2,Tomato,4183.0,29.77,9294.0,0.0,38834.0,124528.0,85694.0
2023-03-01,2023,3,Tomato,3567.0,29.9,7928.0,0.0,34217.0,106653.0,72436.0
2023-04-01,2023,4,Tomato,4073.0,29.89,11529.0,88.2,35405.0,121742.0,86337.0
2023-05-01,2023,5,Tomato,3076.0,28.33,11062.0,93.2,36238.0,87143.0,50905.0
2023-06-01,2023,6,Tomato,3405.0,31.17,5317.0,150.7,29211.0,106134.0,76923.0
2023-07-01,2023,7,Tomato,2385.0,30.58,5185.0,124.9,33048.0,72933.0,39885.0
2023-08-01,2023,8,Tomato,3500.0,30.76,7635.0,91.1,38131.0,107660.0,69529.0
2023-09-01,2023,9,Tomato,2456.0,27.86,10674.0,58.8,37603.0,68424.0,30821.0
2023-10-01,2023,10,Tomato,3021.0,27.92,11911.0,9.4,35849.0,84346.0,48497.0
2023-11-01,2023,11,Tomato,4050.0,29.32,6053.0,0.0,30952.0,118746.0,87794.0
2023-12-01,2023,12,Tomato,3496.0,30.57,9159.0,0.0,36757.0,106873.0,70116.0
